"00011661202122";"Living on the Hallelujah Side";"274009";"16816-0";"";"20110705"
"00011661204423";"From the Heart";"205880";"16816-0";"";"20110705"
"00011661204928";"After Dark";"205880";"16816-0";"";"20110705"
"00011661205529";"Ain't Nothin' But a Party -- Recorded Live";"205870";"16816-0";"";"20110705"
"00011661205925";"Room with a View of the Blues";"205880";"16816-0";"";"20110705"
"00011661206021";"Boom, Boom";"205870";"16816-0";"";"20110705"
"00011661208322";"I Won't Cry";"205880";"16816-0";"";"20110705"
"00011661212527";"Good Morning Heartache";"205880";"16816-0";"";"20110705"
"00011661213524";"The Verdict";"205880";"16816-0";"";"20110705"
"00011661214422";"One Foot in the Blues";"205880";"16816-0";"";"20110705"
"";"Man of My Word";"205880";"16816-0";"";"20110705"
"00011661315822";"Christmas Island";"183628";"16816-0";"";"20100713"
"00011661318229";"Fashionably Late";"205893";"16816-0";"";"20110621"
"00011661324527";"Unsung";"183636";"16816-0";"";"20100713"
"00011661326521";"Ruby's Torch";"183652";"16816-0";"";"20100713"
"00011661327429";"American Central Dust";"183664";"16816-0";"";""
"00011661327528";"The Loving Kind";"183652";"16816-0";"";"20100713"
"00011661328525";"Live in Boston, 1982";"185845";"16816-0";"";"20100727"
"00011661351325";"Truths and Rights";"270509";"16816-0";"";"20110705"
"00011661460720";"Dread Natty Congo b\w Herbal Affair";"57914";"13960-0";"";"20091208"
"00011661606128";"Â¡Seguro Que Si!";"274057";"16816-0";"";"20110705"
"00011661606425";"Esta Pasion";"274057";"16816-0";"";"20110705"
"00011661705623";"Blueprint";"381122";"16816-0";"";"20100713"
"00011661706125";"On Christmas Night";"183634";"16816-0";"";"20100713"
"00011661706422";"Forerunner";"183640";"16816-0";"";"20100713"
"00011661706521";"Yours Truly";"381122";"16816-0";"";"20100713"
"00011661753723";"Some of the Best";"273995";"16816-0";"";"20110705"
"00011661755321";"Chicken Scratch";"273995";"16816-0";"";"20110705"
"00011661755727";"I Admire You";"274059";"16816-0";"";"20110705"
"00011661756526";"Lord God Muzick";"273995";"16816-0";"";"20110705"
"00011661757424";"Boombastic";"274061";"16816-0";"";"20110705"
"00011661757622";"Soundzs from the Hot Line";"273995";"16816-0";"";"20110705"
"00011661757721";"The Upsetter Shop, V. 1: Upsetter in Dub";"273995";"16816-0";"";"20110705"
"00011661760127";"The Upsetter Shop, V. 2; 1969 to 1973";"273995";"16816-0";"";"20110705"
"00011661768826";"A Man and His Hits";"273999";"16816-0";"";"20110705"
"00011661770829";"Curly Locks: The Best of Junior Byles & the Upsetters";"274013";"16816-0";"";""
"00011661772120";"Quality Time";"248314";"16816-0";"";"20110405"
"00011661782426";"On the Other Side of Dub";"271227";"16816-0";"";"20110621"
"00011661783829";"Satta Massagana Deluxe Edition";"183617";"16816-0";"";"20100713"
"00011661800922";"Howjadoo";"205872";"16816-0";"";"20110705"
"00011661801622";"Mail Myself to You";"205872";"16816-0";"";"20110705"
"00011661802629";"Family Garden";"205872";"16816-0";"";"20110705"
"00011661803626";"John McCutcheon's Four Seasons: Summersongs";"205872";"16816-0";"";"20110705"
"00011661803725";"John McCutcheon's Four Seasons: Autumnsongs";"205872";"16816-0";"";"20110705"
"00011661803824";"John McCutcheon's Four Seasons: Wintersongs";"205872";"16816-0";"";"20110705"
"00011661804425";"Bigger Than Yourself";"205872";"16816-0";"";"20110705"
"00011661805927";"Raffi in Concert";"183676";"16816-0";"";"20100713"
"00011661810020";"Still The Same Me";"183658";"16816-0";"";"20100713"
"00011661811423";"Raffi's Christmas Album: A Collection of Christmas Songs for Children";"183676";"16816-0";"";""
"00011661812123";"Rhinoceros Tap";"183615";"16816-0";"";"20100713"
"00011661812222";"Philadelphia Chickens";"183615";"16816-0";"";"20100713"
"00011661813021";"Make Believe";"203153";"16816-0";"";"20110621"
"00011661813120";"Happiness Cake";"203153";"16816-0";"";"20110621"
"00011661813229";"Peppermint Wings";"203153";"16816-0";"";"20110621"
"00011661813724";"Splash Zone: Singable Sea Songs for Kids";"203153";"16816-0";"";"2010621"
"00011661814424";"Blue Moo: 17 Jukebox Hits from Way Back Never";"183615";"16816-0";"";"20100713"
"00011661856226";"Save Some Time To Dream";"185826";"16817-0";"";"20100727"
"00011661856424";"Bushwick Blues";"182729";"16816-0";"";"20100824"
"00011661858220";"Hellos Goodbyes & Butterflies";"182314";"16816-0";"";"20101012"
"";"Homecoming: The Bluegrass Album";"230584";"24162-0";"";"20110301"
"00011661861626";"At Edwards Barn";"230585";"24162-0";"";"20110301"
"00011661863125";"Paper Airplane Final EPK";"241519";"16816-0";"";"20110426"
"00011661867628";"Someone Like You";"183671";"16816-0";"";"20110809"
"00011661875425";"Kindred Spirits: A Collection";"443768";"24162-0";"";"20121127"
"00011661876620";"Animal Songs";"439565";"24162-0";"";"20121005"
"00011661876729";"Baby Beluga";"439565";"24162-0";"";"20121005"
"00011661876828";"Bananaphone";"439565";"24162-0";"";"20121017"
"00011661876927";"Evergreen Everblue: 20th Anniversary";"439565";"24162-0";"";"20121017"
"00011661877023";"Everything Grows (feat. Ken Whiteley)";"439565";"24162-0";"";"20121018"
"00011661877122";"Let's Play";"439565";"24162-0";"";"20121017"
"00011661877221";"More Singable Songs (feat. Ken Whiteley)";"439565";"24162-0";"";"20121018"
"00011661877320";"One Light, One Sun (feat. Ken Whiteley)";"439565";"24162-0";"";"20121017"
"00011661877429";"Quiet Time";"439565";"24162-0";"";"20121017"
"00011661877528";"Raffi in Concert (feat. The Rise and Shine Band)";"439565";"24162-0";"";"20121018"
"00011661877627";"Raffi Radio";"439565";"24162-0";"";"20121018"
"00011661877726";"Raffi's Christmas Album: A Collection of Christmas Songs for Children (feat. Ken Whiteley)";"439565";"24162-0";"";"20121017"
"00011661877825";"Rise and Shine";"439565";"24162-0";"";"20121018"
"00011661877924";"Singable Songs for the Very Young (feat. Ken Whiteley)";"439565";"24162-0";"";"20121018"
"00011661878020";"Songs of Our World";"439565";"24162-0";"";"20121018"
"00011661878129";"The Corner Grocery Store and Other Singable Songs (feat. Ken Whiteley)";"439565";"24162-0";"";"201018"
"00011661881228";"Brothers of the Highway";"493983";"24162-0";"";"20130618"
"00011661882423";"Walking Song";"508360";"24162-0";"";"20130730"
"00011661882522";"Walking Song";"508360";"24162-0";"";"20130730"
"00011661884328";"Three Chords and the Truth";"531522";"24162-0";"";"20131021"
"00011661884427";"Three Chords And The Truth";"531522";"24162-0";"";"20131021"
"00011661884526";"Fun Food Songs";"439565";"24162-0";"";"20131112"
"00011661885622";"The Game";"551110";"24162-0";"";"20140121"
"00011661885721";"The Game";"551110";"24162-0";"";"20140121"
"00011661885820";"Great Big World";"551111";"24162-0";"";"20140204"
"00011661885929";"Great Big World";"551111";"24162-0";"";"20140204"
"00011661901421";"Modern Lovers '88";"205858";"16816-0";"";"20110705"
"00011661902121";"Jonathan Richman";"205858";"16816-0";"";"20110705"
"00011661902428";"Jonathan Goes Country";"205858";"16816-0";"";"20110705"
"00011661902626";"Having a Party with Jonathan Richman";"205858";"16816-0";"";"20110705"
"00011661903623";"I, Jonathan";"205858";"16816-0";"";"20110705"
"00011661904224";"Precise Modern Lovers Order: Live in Boston, 1971 and Berkeley, 1973";"274019";"16816-0";"";"20110705"
"00011661904729";"You Must Ask the Heart";"205858";"16816-0";"";"20110705"
"00011661905825";"Once More With Feeling (Episode Soundtrack)";"183662";"16816-0";"";"20100713"
"00011661907225";"The Namesake Original Motion Picture Soundtrack";"183624";"16816-0";"";"20100713"
"00011661907423";"Notes on a Scandal (Original Motion Picture Soundtrack)";"183638";"16816-0";"";"20713"
"00011661907720";"La Cucaracha";"183666";"16816-0";"";"20100713"
"00011661907829";"Buffy the Vampire Slayer - The Score";"183675";"16816-0";"";"20100713"
"00011661908321";"The Green Sparrow";"183670";"16816-0";"";"20100713"
"00011661909427";"Heartbeat Radio";"183654";"16816-0";"";"20100713"
"";"Get Low";"185835";"16816-0";"";"20100727"
"00011661950528";"Late Last Night";"274023";"16816-0";"";"20110705"
"00011661950627";"I Want to Groove with You";"274064";"16816-0";"";"20110705"
"00011661956322";"Doin' the Sugar Too";"274064";"16816-0";"";"20110705"
"00011661958524";"Crescent City Moon";"273993";"16816-0";"";"20110705"
"00011661962125";"Honky Tonkin'";"205870";"16816-0";"";"20110705"
"00011661964228";"Served Up Texas Style: The Best of The Smokin' Joe Kubek Band featuring Bnois King";"183643";"16816-0";"";"20100713"
"00011671000220";"Christmas Guitar, V. 1";"270560";"16816-0";"";"20110705"
"00011671000824";"Let Go";"270560";"16816-0";"";"20110705"
"00011671001227";"Popular Songs of Christmas & New Year's";"270560";"16816-0";"";"20110705"
"00011671103228";"Swingtime in Springtime";"274068";"16816-0";"";"20110705"
"00011671111124";"Loving You";"274003";"16816-0";"";"20110705"
"00011671112923";"Breathe the Moonlight";"274070";"16816-0";"";"20110705"
"00011671113326";"Child Bride";"274072";"16816-0";"";"20110705"
"00011671114729";"Kristina Olsen";"274074";"16816-0";"";"20110705"
"00011671115726";"Love, Kristina";"274074";"16816-0";"";"20110705"
"00011671117522";"Hurry on Home";"274074";"16816-0";"";"20110705"
"00011671117928";"Inherited Road";"274070";"16816-0";"";"20110705"
"00011671119526";"Live From Around The World";"274074";"16816-0";"";"20110705"
"00011671121529";"Night in a Strange Town";"271225";"16816-0";"";"20110621"
"00011671122021";"The Bellevue Years";"234740";"16816-0";"";"20110705"
"00011671122526";"Broke Down";"183636";"16816-0";"";"20100713"
"00011671123721";"Growl";"183626";"16816-0";"";"20100713"
"00011671124421";"Delirium Tremolos";"183626";"16816-0";"";"20100713"
"00011671801520";"The Utterly Fantastic and Totally Unbelievable Sound of Los Straitjackets";"250428";"16816-0";"";"201105"
"00011671801629";"Jack in the Pulpit";"226442";"16816-0";"";"20110809"
"00011768002724";"Alvarez Guedes, Vol. 27";"986912";"946-0";"";"20081201"
"00012345678905";"Darkness to Light - It Is What It Is";"542342";"33634-0";"";"20131126"
"00012414157720";"Killa Kali";"1565";"464-0";"";"19950101"
"00012414500021";"Heat 4 Yo Azz";"4375";"464-0";"";"19950927"
"00012414500823";"Have Heart Have Money";"151601";"11719-0";"";"19970826"
"00012414610324";"I'm The Bad Guy";"35675";"1290-0";"";"19990713"
"00012414610621";"Too Short Mixtapes Vol 1:  Nation Riders";"35494";"1290-0";"";"19990824"
"";"Dirty Rice";"925015";"1290-0";"";"19990928"
"00012805010023";"Day Parts - Sunday Morning Coffee";"401108";"39534-0";"";"20070605"
"00012805010122";"Dinner";"401104";"39534-0";"";"20070529"
"00012805010221";"Day Parts - Party";"401108";"39534-0";"";"20070703"
"00012805010320";"Day Parts-Romance";"401104";"39534-0";"";"20060110"
"00012805010429";"Sunday Morning Coffee II";"401104";"39534-0";"";"20070710"
"00012805010528";"Day Parts-Party 2";"401104";"39534-0";"";"20070529"
"00012805010726";"Day Parts-Romance II";"401104";"39534-0";"";"20060110"
"00012805012928";"Digital Box Set";"401104";"39534-0";"";"20080311"
"00012805021425";"Romantic Melodies";"401104";"39534-0";"";"20060110"
"00012805021524";"Romantic Themes";"401104";"39534-0";"";"20060110"
"00012805029629";"Holiday Musik";"401104";"39534-0";"";"20051115"
"00012805029728";"Holiday Musik II";"401104";"39534-0";"";"20051115"
"00012805029827";"Renaissance Holiday";"401104";"39534-0";"";"20051115"
"00012805037327";"Fresh Aire Interludes";"401104";"39534-0";"";"20070612"
"00012805040020";"Fresh Aire Motivator";"401104";"39534-0";"";"20070605"
"00012805045025";"Inventions from the Blue Line";"401115";"39534-0";"";"20101207"
"00012805050029";"Olde English Madrigals and Folk Songs at Ely Cathedral";"401121";"39534-0";"";"20070619"
"00012805058629";"The Mozart Collection";"401121";"39534-0";"";"20070710"
"00012805058827";"Brother Sun, Sister Moon";"401123";"39534-0";"";"20070619"
"00012805059022";"The Handel Collection";"401121";"39534-0";"";"20070612"
"00012805059220";"Johann Sebastian Bach Collection";"401121";"39534-0";"";"20070612"
"00012805060523";"Chasing Grace";"401131";"39534-0";"";"20101207"
"00012805079129";"Surrounded";"401112";"39534-0";"";"20070529"
"00012805080026";"Classical Gas";"401104";"39534-0";"";"20070605"
"00012805080125";"The Compleat Four Seasons Antonio Vivaldi";"401099";"39534-0";"";"20070612"
"00012805088824";"Fresh Aire 8";"401104";"39534-0";"";"20070306"
"00012805099325";"Impressions";"401104";"39534-0";"";"20070529"
"00012805102322";"Halloween 2 Creatures Collection";"401104";"39534-0";"";"20060912"
"00012805102520";"Halloween 2 Creatures Collection";"401104";"39534-0";"";"20060912"
"00012805102827";"Halloween 2 Creatures Collection- Disc 1 (Music)";"59264";"3705-0";"";"200923"
"00012805102926";"Halloween";"401104";"39534-0";"";"20100119"
"00012805103121";"Halloween";"401104";"39534-0";"";"20051018"
"00012805103220";"Halloween: Monster Mix";"401104";"39534-0";"";"20051011"
"00012805122528";"Christmas Extraordinaire";"401104";"39534-0";"";"20051101"
"00012805122627";"Christmas Companion";"401104";"39534-0";"";"20061205"
"00012805122726";"Christmas Song";"401104";"39534-0";"";"20071009"
"00012805122825";"Christmas Song";"401104";"39534-0";"";"20071009"
"00012805123020";"Christmas Extraordinaire";"401104";"39534-0";"";"20071016"
"00012805123129";"Christmasville";"401104";"39534-0";"";"20081007"
"00012805177627";"American Spirit";"401104";"39534-0";"";"20060613"
"00012805198424";"Christmas";"401104";"39534-0";"";"20051101"
"00012805198820";"A Fresh Aire Christmas";"401104";"39534-0";"";"20051101"
"00012805199520";"Christmas In The Aire";"401104";"39534-0";"";"20051101"
"00012805199728";"Christmas Live";"401104";"39534-0";"";"20051101"
"";"The Christmas Angel";"401104";"39534-0";"";"20051108"
"00012805202022";"Christmas Celebration";"401104";"39534-0";"";"20051101"
"00012805208628";"Saving The Wildlife";"401104";"39534-0";"";"20070605"
"00012805301220";"Mannheim Steamroller Christmas Symphony";"401139";"39534-0";"";"201024"
"00012805308922";"Yellowstone: The Music Of Nature";"401104";"39534-0";"";"20070605"
"00012805309424";"To Russia With Love";"401104";"39534-0";"";"20070710"
"00012805500128";"Fresh Aire";"401104";"39534-0";"";"20070306"
"00012805500227";"Fresh Aire II";"401104";"39534-0";"";"20070306"
"00012805500326";"Fresh Aire III";"401104";"39534-0";"";"20070306"
"00012805500425";"Fresh Aire IV";"401104";"39534-0";"";"20070306"
"00012805500524";"Fresh Aire V";"401104";"39534-0";"";"20070306"
"00012805500623";"Fresh Aire VI";"401104";"39534-0";"";"20070306"
"00012805500722";"Fresh Aire 7";"401104";"39534-0";"";"20070306"
"00012805840019";"Fresh Aire";"59264";"3705-0";"";"20080415"
"00012805840026";"Fresh Aire III";"59264";"3705-0";"";"20080415"
"00012805840033";"Christmas";"401104";"39534-0";"";"20081104"
"00012805840040";"Christmas";"401104";"39534-0";"";"20081104"
"00012805840057";"A Fresh Aire Christmas";"401104";"39534-0";"";""
"00012805840064";"A Fresh Aire Christmas";"401104";"39534-0";"";"20081104"
"00012805840071";"Christmas In The Aire";"401104";"39534-0";"";"20081104"
"00012805840088";"Christmas In The Aire";"401104";"39534-0";"";"20081104"
"00012805840095";"Christmas Extraordinaire";"401104";"39534-0";"";"20081104"
"00012805840101";"Christmas Extraordinaire";"401104";"39534-0";"";"20081104"
"00012805840118";"Christmas Song";"401104";"39534-0";"";"20081104"
"00012805840125";"Christmas Song";"401104";"39534-0";"";"20100330"
"00012805840132";"Christmasville";"401104";"39534-0";"";"20081104"
"00012805840156";"Christmasville";"401104";"39534-0";"";"20081104"
"00012805840200";"Messengers of Christmas";"401104";"39534-0";"";"20081202"
"00012805850018";"Halloween (Music Disc)";"59264";"3705-0";"";"20070904"
"00012805850025";"Halloween (Music Disc)";"59264";"3705-0";"";"20070904"
"00012805850032";"All Hallow's Eve";"59264";"3705-0";"";"20100330"
"00012805850049";"Halloween (Music Disc)";"59264";"3705-0";"";"20904"
"00012805850056";"Halloween 2 Creatures Collection- Disc 1 (Music)";"59264";"3705-0";"";"20070904"
"00012805850063";"Halloween (EFX Disc)";"59264";"3705-0";"";"20070904"
"00012805850070";"Halloween (EFX Disc)";"59264";"3705-0";"";"20070904"
"00012805850087";"Halloween 2 Creatures Collection- Disc 2 (EFX & Dance Remixes)";"59264";"3705-0";"";"20070904"
"00012805850094";"Halloween 2 Creatures Collection- Disc 2 (EFX & Dance Remixes)";"59264";"3705-0";"";"20070904"
"00012805850117";"Halloween 2 Creatures Collection- Disc 2 (EFX & Dance Remixes)";"59264";"3705-0";"";"20070904"
"00012805850124";"Halloween 2 Creatures Collection- Disc 2 (EFX & Dance Remixes)";"59264";"3705-0";"";""
"00012805850131";"Halloween 2 Creatures Collection- Disc 1 (Music)";"59264";"3705-0";"";"20070920"
"00012805860017";"God Rest Ye Merry, Gentlemen - Rock";"59264";"3705-0";"";"20070823"
"00012805860024";"Faeries";"59264";"3705-0";"";"20070823"
"00012805860031";"Christmas";"401104";"39534-0";"";"20070928"
"00012805860048";"Christmas";"401104";"39534-0";"";"20070921"
"00012805860055";"Hallelujah";"59264";"3705-0";"";"20070921"
"00012805860062";"A Fresh Aire Christmas";"59264";"3705-0";"";"20070921"
"00012805860079";"A Fresh Aire Christmas";"59264";"3705-0";"";"20070921"
"00012805860086";"A Fresh Aire Christmas";"401104";"39534-0";"";"20070928"
"00012805860093";"Christmas In The Aire";"401104";"39534-0";"";"20070921"
"00012805860109";"Christmas In The Aire";"59264";"3705-0";"";"20070928"
"00012805860116";"Christmas Song";"59264";"3705-0";"";"20070921"
"00012805860123";"A Fresh Aire Christmas";"401104";"39534-0";"";"20070921"
"00012805860130";"Christmas";"59264";"3705-0";"";""
"00012805902977";"Creatures Of The Night Dance Instructional Video";"401104";"39534-0";"";"20060919"
"00012805903073";"Monster Mash";"401104";"39534-0";"";"20060919"
"00012805903172";"Psycho";"401104";"39534-0";"";"20060919"
"00012805903271";"Creatures Of The Night";"401104";"39534-0";"";"20060919"
"00012872004819";"Run This";"900736";"73933-0";"";"20171117"
"00012872004833";"Nothing and Nowhere";"900736";"73933-0";"";"20190311"
"00012872004840";"Bring Em Hope";"938433";"73933-0";"";"20190405"
"00012872004932";"Try Me";"938433";"73933-0";"";"20180922"
"00012928050128";"Radio Favorites";"251049";"3432-0";"";"20110517"
"00012928100427";"Down In Mississippi";"268667";"3432-0";"";"20110614"
"00012928250122";"Song Of The West - The Cowboy Collection";"121141";"3432-0";"";"20110329"
"00012928300223";"Telewacker";"249715";"3432-0";"";"20110510"
"00012928300322";"Kim Lenz & Her Jaguars";"259596";"3432-0";"";"20110517"
"00012928300520";"Number One Hit Record!";"257528";"3432-0";"";"20110510"
"00012928300629";"The Hot Guitars Of Biller & Wakefield";"267331";"3432-0";"";""
"00012928301329";"Rhythm Rhyme And Truth";"257528";"3432-0";"";"20110510"
"00012928500128";"Masters Of Modern Blues";"272081";"3432-0";"";"20110628"
"00012928500227";"Masters Of Modern Blues";"259599";"3432-0";"";"20110517"
"00012928500425";"Amazing Grace";"263724";"3432-0";"";"20110531"
"00012928500524";"Otis Spann's Chicago Blues";"259603";"3432-0";"";"20110628"
"00012928501521";"With Big Walter Horton";"259589";"3432-0";"";"20110517"
"00012928501729";"Traveling Through The Jungle: Fife and Drum Band Music From The Deep South";"275746";"3432-0";"";"20110712"
"00012928501828";"Goin' To Chicago";"270637";"3432-0";"";"20110621"
"00012928501927";"My Home Is In The Delta";"263726";"3432-0";"";"20110531"
"00012928502023";"Masters Of Modern Blues";"272083";"3432-0";"";"20110628"
"00012928502122";"Bottleneck Blues";"74959";"3432-0";"";"20110712"
"00012928502221";"Standing At The Crossroads";"259589";"3432-0";"";"20110517"
"00012928600125";"Live The Life";"259603";"3432-0";"";"20110614"
"00012928600224";"Crawling Kingsnake";"270635";"3432-0";"";"20110621"
"00012928600422";"Mandolin Blues";"74959";"3432-0";"";"20110712"
"00012928600729";"Levee Camp Blues";"263724";"3432-0";"";"20110531"
"00012928600828";"Goin' To Brownsville";"270638";"3432-0";"";"20110621"
"00012928650120";"Sound Machine Groove";"262458";"3432-0";"";"20110524"
"00012928650328";"Do The Rump!";"275247";"3432-0";"";"20110712"
"00012928650823";"She-Wolf";"261678";"3432-0";"";"20110524"
"00012928660129";"Rockabilly Uprising: The Best Of Mac Curtis";"272084";"3432-0";"";"20110628"
